State,Incidence Rate,Average Annual Count_x,Death Rate,Average Annual Count_y,Cancer Death_per_hundred_cancer_patient
Kentucky,520.9,26945.0,197.9,10206.0,37.87715717201707
Delaware,498.4,5803.0,169.6,1989.0,34.27537480613476
Pennsylvania,487.0,79060.0,169.0,28658.0,36.248418922337464
New Hampshire,483.5,8129.0,162.0,2718.0,33.4358469676467
New Jersey,483.3,50921.0,153.5,16407.0,32.220498419119814
New York,482.9,111527.0,151.0,35491.0,31.82278730710949
Louisiana,480.6,24888.0,183.0,9346.0,37.552234008357445
Rhode Island,477.5,6163.0,164.7,2223.0,36.070095732597764
West Virginia,476.0,11653.0,189.4,4756.0,40.81352441431391
Maine,475.9,8700.0,174.1,3267.0,37.55172413793104
Iowa,475.2,17806.0,165.6,6479.0,36.38661125463327
Connecticut,472.4,20843.0,145.8,6657.0,31.938780405891663
Mississippi,468.6,15923.0,193.6,6522.0,40.95961816240658
Arkansas,467.8,16551.0,185.2,6623.0,40.01570902060298
Wisconsin,466.9,32160.0,162.8,11398.0,35.441542288557216
Georgia,466.4,49003.0,165.6,16650.0,33.97751158092362
Illinois,466.2,67683.0,168.5,24531.0,36.243960817339655
North Carolina,466.1,53636.0,166.9,19036.0,35.491088075173394
Kansas,464.5,15171.0,164.2,5497.0,36.23360358578868
Minnesota,463.8,28996.0,153.4,9691.0,33.421851289833086
Tennessee,462.6,35692.0,184.0,14111.0,39.53547013336322
Ohio,461.9,64858.0,177.1,25317.0,39.03450615190108
South Carolina,457.3,26730.0,171.8,9942.0,37.19416386083053
Indiana,457.1,34242.0,178.4,13416.0,39.17995444191344
South Dakota,456.0,4514.0,160.5,1648.0,36.50863978732831
Missouri,455.2,32947.0,175.6,12920.0,39.214496008741314
Montana,454.4,5901.0,155.0,2036.0,34.50262667344518
North Dakota,453.8,3725.0,149.8,1283.0,34.442953020134226
Oklahoma,452.9,19837.0,183.7,8082.0,40.7420476886626
Vermont,452.7,3678.0,164.8,1355.0,36.84067427949973
Alabama,451.9,26110.0,179.0,10332.0,39.571045576407506
Florida,451.9,121916.0,152.6,43285.0,35.50395354178287
Nebraska,451.6,9630.0,159.3,3478.0,36.11630321910696
Washington,451.0,35813.0,157.1,12273.0,34.269678608326586
Maryland,450.5,30444.0,160.3,10674.0,35.06109578242018
Michigan,449.8,54047.0,170.4,20727.0,38.34995466908431
Massachusetts,449.7,36149.0,155.8,12795.0,35.39516999087112
Idaho,440.5,7924.0,154.8,2761.0,34.84351337708228
District of Columbia,432.6,2818.0,169.0,1082.0,38.39602555003548
Oregon,429.8,20790.0,162.8,7933.0,38.15776815776816
Virginia,418.7,39078.0,160.8,14686.0,37.58124776088848
Alaska,413.0,2784.0,164.9,977.0,35.0933908045977
Texas,407.7,107094.0,154.0,38943.0,36.36338170205614
California,404.8,165242.0,145.3,58588.0,35.455876835187176
Utah,402.8,10143.0,127.0,3021.0,29.784087548062704
Colorado,401.4,22701.0,138.9,7520.0,33.126293995859214
Wyoming,397.3,2638.0,144.7,943.0,35.746777862016685
Nevada,392.6,12409.0,162.3,4934.0,39.76146345394472
Arizona,387.0,30448.0,144.1,11508.0,37.7955859169732
New Mexico,374.3,9116.0,144.0,3514.0,38.547608600263274
